#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
100 4 1 (Europe) (Unl);100 4 1 (Europe) (Unl);Atari ST;;1997;Howard Clarke;Puzzle;;;;;0;;;;;
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es);2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2008;Sega;Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Platform/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Platform/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Fighter/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Fighter/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2006;Sega;Pinball/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2006;Sega;Pinball/Puzzle;;;;;0;;;;;
2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);Nintendo Game Boy Advance;;2005;Nintendo;Puzzle;;;;;0;;;;;
2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);Nintendo Game Boy Advance;;2005;Nintendo;Puzzle;;;;;0;;;;;
2 Games in One! - Marble Madness + Klax (USA);2 Games in One! - Marble Madness + Klax (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action/Puzzle;;;;;0;;;;;
2nd Space (Asia) (Unl);2nd Space (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Puzzle;;;;;0;;;;;
3, 2, 1 …supercrash! (USA);3, 2, 1 …Supercrash!;Sony PSP Minis;;2010;StormBASIC Games;Puzzle;;;;;0;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PlayStation;;1995;Psygnosis;Puzzle;;;;;0;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PSP;;1995;Psygnosis;Puzzle;;;;;0;;;;;
3D Master Game (Europe);3D Master Game (Europe);Sinclair ZX Spectrum;;1983;Supersoft Systems;Puzzle;;;;;0;;;;;
3D Oxo (Europe);3D Oxo (Europe);Sinclair ZX Spectrum;;1983;Oasis Software;Puzzle;;;;;0;;;;;
3D-Tetris (Czech Republic);3D-Tetris (Czech Republic);Sinclair ZX Spectrum;;1989;Antic Software;Puzzle;;;;;0;;;;;
3-D Tetris (USA);3-D Tetris (USA);Nintendo Virtual Boy;;1996;Nintendo;Puzzle;;;;;0;;;;;
3-D Tic-Tac-Toe (USA);3-D Tic-Tac-Toe (USA);Atari 2600;;1980;Atari;Puzzle;;;;;0;;;;;
3D Twist & Match (USA);3D Twist and Match;Sony PSP Minis;;2011;Sanuk Games;Puzzle;;;;;0;;;;;
3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA);3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA);Nintendo Game Boy Advance;;2006;DSI Games;Puzzle;;;;;0;;;;;
3kokushi;Sankokushi (Japan);Arcade;;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);Final Burn Alpha;;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Advance);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Libretro);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Mame4all);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);Arcade;;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);Final Burn Alpha;;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (Advance);;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (Libretro);;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (Mame4all);;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);Arcade;3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);Final Burn Alpha;3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (Advance);3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (Libretro);3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (Mame4all);3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
4enraya;4 En Raya (set 1);Arcade;;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);Final Burn Alpha;;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);MAME (Advance);;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);MAME (Libretro);;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);MAME (Mame4all);;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);Arcade;4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);Final Burn Alpha;4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (Advance);4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (Libretro);4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (Mame4all);4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4in1boot;Puzzle King [Bootleg];Final Burn Alpha;;2002;K1 Soft;;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);Arcade;;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);Arcade;;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);Final Burn Alpha;;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Advance);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Advance);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Libretro);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Libretro);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Mame4all);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Mame4all);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4 in 1 Row (Europe);4 in 1 Row (Europe);Magnavox Odyssey 2;;1982;Philips;Puzzle;;;;;0;;;;;
64 Mastermind - A Game of Logic (Europe);64 Mastermind - A Game of Logic (Europe);Commodore 64;;1994;Magic Disk;Puzzle;;;;;0;;;;;
8-Letter Anagrams (Tape 1) (Side A) (Europe);8-Letter Anagrams (Tape 1) (Side A) (Europe);Sinclair ZX Spectrum;;1987;Ian J. Rogers;Puzzle;;;;;0;;;;;
8-Letter Anagrams (Tape 1) (Side B) (Europe);8-Letter Anagrams (Tape 1) (Side B) (Europe);Sinclair ZX Spectrum;;1987;Ian J. Rogers;Puzzle;;;;;0;;;;;
8-Letter Anagrams (Tape 2) (Side A) (Europe);8-Letter Anagrams (Tape 2) (Side A) (Europe);Sinclair ZX Spectrum;;1987;Ian J. Rogers;Puzzle;;;;;0;;;;;
8-Letter Anagrams (Tape 2) (Side B) (Europe);8-Letter Anagrams (Tape 2) (Side B) (Europe);Sinclair ZX Spectrum;;1987;Ian J. Rogers;Puzzle;;;;;0;;;;;
Abombinaball (Europe) (Unl);Abombinaball (Europe) (Unl);Atari ST;;1992;ST Format;Puzzle;;;;;0;;;;;
Ace Pro (Hungary) (Unl);Ace Pro (Hungary) (Unl);Commodore 64;;1995;Art Game;Puzzle;;;;;0;;;;;
Acid Drop (Europe);Acid Drop (Europe);Atari 2600;;1992;Salu;Puzzle;;;;;0;;;;;
ACME Animation Factory (USA);ACME Animation Factory (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Puzzle;;;;;0;;;;;
Actual Crimes Jack The Ripper (USA);Actual Crimes Jack the Ripper;Sony PSP Minis;;2010;Virtual Playground;Puzzle;;;;;0;;;;;
Addgar (Europe);Addgar (Europe);Commodore 64;;1994;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Adventures of Lolo 2 (USA);Adventures of Lolo 2 (USA);Nintendo Entertainment System;;1990;HAL Labs;Puzzle;;;;;0;;;;;
Adventures of Lolo 3 (USA);Adventures of Lolo 3 (USA);Nintendo Entertainment System;;1991;HAL Labs;Puzzle;;;;;0;;;;;
Adventures of Lolo (Europe);Adventures of Lolo (Europe);Nintendo Game Boy;;1995;Nintendo;Puzzle;;;;;0;;;;;
Adventures of Lolo (USA);Adventures of Lolo (USA);Nintendo Entertainment System;;1989;HAL Labs;Puzzle;;;;;0;;;;;
agress;Agress - Missile Daisenryaku (Japan);Arcade;;1991;Palco;Puzzle / Sliding;;;;;0;;;;;
agress;Agress - Missile Daisenryaku (Japan);Final Burn Alpha;;1991;Palco;Puzzle / Sliding;;;;;0;;;;;
agress;Agress - Missile Daisenryaku (Japan);MAME (Advance);;1991;Palco;Puzzle / Sliding;;;;;0;;;;;
agress;Agress - Missile Daisenryaku (Japan);MAME (Libretro);;1991;Palco;Puzzle / Sliding;;;;;0;;;;;
agress;Agress - Missile Daisenryaku (Japan);MAME (Mame4all);;1991;Palco;Puzzle / Sliding;;;;;0;;;;;
agressb;Agress - Missile Daisenryaku (English bootleg);Arcade;agress;2003;bootleg;Puzzle / Sliding;;;;;0;;;;;
agressb;Agress - Missile Daisenryaku (English bootleg);Final Burn Alpha;agress;2003;bootleg;Puzzle / Sliding;;;;;0;;;;;
agressb;Agress - Missile Daisenryaku (English bootleg);MAME (Advance);agress;2003;bootleg;Puzzle / Sliding;;;;;0;;;;;
agressb;Agress - Missile Daisenryaku (English bootleg);MAME (Libretro);agress;2003;bootleg;Puzzle / Sliding;;;;;0;;;;;
agressb;Agress - Missile Daisenryaku (English bootleg);MAME (Mame4all);agress;2003;bootleg;Puzzle / Sliding;;;;;0;;;;;
Aknakereso (Hungary) (Unl);Aknakereso (Hungary) (Unl);Commodore 64;;1996;Different;Puzzle;;;;;0;;;;;
Alfred Hitchcock Presents (Japan);Alfred Hitchcock Presents (Japan);Panasonic 3DO;;1994;Dentsu;Puzzle;;;;;0;;;;;
Algernon - An Introduction to Programming Logic (USA);Algernon - An Introduction to Programming Logic (USA);Commodore 64;;1985;Sunburst Communications;Puzzle;;;;;0;;;;;
Alien Havoc (USA);Alien Havoc;Sony PSP Minis;;2009;Creat Studios;Puzzle;;;;;0;;;;;
Alinka (France) (Unl);Alinka (France) (Unl);Amstrad CPC;;1991;Amstrad Cent Pour Cent;Puzzle;;;;;0;;;;;
Alpine Tram Ride (USA);Alpine Tram Ride (USA);Commodore 64;;1986;Learning Technologies, Inc.;Puzzle;;;;;0;;;;;
Altered Space - A 3-D Alien Adventure (USA);Altered Space - A 3-D Alien Adventure (USA);Nintendo Game Boy;;1991;Sony Imagesoft;Puzzle;;;;;0;;;;;
A-mazing Tater (USA);A-mazing Tater (USA);Nintendo Game Boy;;1992;Atlus Co.;Puzzle;;;;;0;;;;;
Ambassador Kane (Europe);Ambassador Kane;Sony PSP Minis;;2011;60°North;Puzzle;;;;;0;;;;;
Amoba (CP Verlag) (Germany);Amoba (CP Verlag) (Germany);Commodore 64;;1994;CP Verlag;Puzzle;;;;;0;;;;;
Amoba (Rom Software) (USA) (Unl);Amoba (Rom Software) (USA) (Unl);Commodore 64;;1993;Rom Software;Puzzle;;;;;0;;;;;
Amorphous (USA);Amorphous (USA);Commodore 64;;1994;M&P Software;Puzzle;;;;;0;;;;;
Anagrams (Europe);Anagrams (Europe);Sinclair ZX Spectrum;;1987;Ian J. Rogers;Puzzle;;;;;0;;;;;
Anarchy (Europe);Anarchy (Europe);Sinclair ZX Spectrum;;1987;Rack-It;Puzzle;;;;;0;;;;;
Anastasia (Europe);Anastasia (Europe);Sony PlayStation;;2001;Midas Interactive Entertainment;Puzzle;;;;;0;;;;;
Anastasia (Europe);Anastasia (Europe);Sony PSP;;2001;Midas Interactive Entertainment;Puzzle;;;;;0;;;;;
Angle (Europe);Angle (Europe);Commodore 64;;1992;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Animal Football (Europe);Animal Football (Europe);Sony PlayStation;;2003;Phoenix Games;Puzzle;;;;;0;;;;;
Animal Football (Europe);Animal Football (Europe);Sony PSP;;2003;Phoenix Games;Puzzle;;;;;0;;;;;
Animal Hotel (USA);Animal Hotel (USA);Commodore 64;;1985;Learning Technologies, Inc.;Puzzle;;;;;0;;;;;
Animal Snap - Rescue Them 2 By 2 (Europe);Animal Snap - Rescue Them 2 By 2 (Europe);Sony PlayStation;;2003;Ignition Entertainment;Puzzle;;;;;0;;;;;
Animal Snap - Rescue Them 2 By 2 (Europe);Animal Snap - Rescue Them 2 By 2 (Europe);Sony PSP;;2003;Ignition Entertainment;Puzzle;;;;;0;;;;;
Animal Snap - Rescue Them 2 by 2 (USA);Animal Snap - Rescue Them 2 by 2 (USA);Nintendo Game Boy Advance;;2002;Ignition Entertainment;Puzzle;;;;;0;;;;;
Aniso (Europe) (Unl);Aniso (Europe) (Unl);Commodore 64;;2001;Josh ask Renin Soft!;Puzzle;;;;;0;;;;;
aquarium;Aquarium (Japan);Arcade;;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);Final Burn Alpha;;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);MAME (Advance);;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);MAME (Libretro);;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);MAME (Mame4all);;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);Arcade;;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);MAME (Advance);;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);MAME (Libretro);;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);MAME (Mame4all);;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
Araiguma Rascal (Japan);Araiguma Rascal (Japan);Nintendo Super Famicom;;1994;J-Force;Puzzle;;;;;0;;;;;
Arcade Essentials (Europe);Arcade Essentials;Sony PSP Minis;;2010;Nordcurrent;Puzzle;;;;;0;;;;;
Arcade Essentials Evolution (Europe);Arcade Essentials Evolution;Sony PSP Minis;;2011;Nordcurrent;Puzzle;;;;;0;;;;;
Arcadesearch (USA);Arcadesearch (USA);Commodore 64;;1983;T&F Software;Puzzle;;;;;0;;;;;
Archibald`s Adventures (USA);Archibald's Adventures;Sony PSP Minis;;2010;Rake in Grass;Puzzle;;;;;0;;;;;
Archipelagos (USA);Archipelagos (USA);Atari ST;;1989;Logotron;Puzzle;;;;;0;;;;;
Arctic - Active Rail Playing (Japan);Arctic - Active Rail Playing (Japan);Microsoft MSX2;;1989;Pony Canyon;Puzzle;;;;;0;;;;;
Arctic (Japan);Arctic (Japan);Nintendo Famicom;;1990;Pony Canyon;Puzzle;;;;;0;;;;;
Arcturus (Europe);Arcturus (Europe);Sinclair ZX Spectrum;;1984;Visions Software Factory;Puzzle;;;;;0;;;;;
ar_pm;Pharaohs Match (Arcadia);Arcade;;1988;Arcadia Systems;Puzzle / Match;;;;;0;;;;;
ar_pm;Pharaohs Match (Arcadia);Final Burn Alpha;;1988;Arcadia Systems;Puzzle / Match;;;;;0;;;;;
ar_pm;Pharaohs Match (Arcadia);MAME (Advance);;1988;Arcadia Systems;Puzzle / Match;;;;;0;;;;;
ar_pm;Pharaohs Match (Arcadia);MAME (Libretro);;1988;Arcadia Systems;Puzzle / Match;;;;;0;;;;;
ar_pm;Pharaohs Match (Arcadia);MAME (Mame4all);;1988;Arcadia Systems;Puzzle / Match;;;;;0;;;;;
Art Alive (World);Art Alive (World);Sega Genesis;;1991;Sega;Puzzle;;;;;0;;;;;
Art - Das Kunstmagazin Puzzle - Echter Puzzlespass fuer Unterwegs (Europe) (En,Fr,De,Es,It);Art - Das Kunstmagazin Puzzle - Echter Puzzlespass fuer Unterwegs;Nintendo DS;;;;;;;;;0;;;;;
Artic Adventures - Polar Puzzles (USA);Arctic Adventures Polar’s Puzzles;Sony PSP Minis;;2010;Eiconic Games;Puzzle;;;;;0;;;;;
Artic Zone (Asia) (Unl);Artic Zone (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Puzzle;;;;;0;;;;;
Artris (Europe);Artris (Europe);Commodore 64;;1995;CP Verlag/Magic Disk 64;Puzzle;;;;;0;;;;;
Aryol (Japan);Aryol (Japan);Nintendo Super Famicom;;1994;Altron;Puzzle;;;;;0;;;;;
Ashido (Poland) (Unl);Ashido (Poland) (Unl);Commodore 64;;1995;TimSoft;Puzzle;;;;;0;;;;;
Assembloids (USA) (Unl);Assembloids (USA) (Unl);Commodore 64;;2012;Simone Bevilacqua;Puzzle;;;;;0;;;;;
Astatin (Germany);Astatin (Germany);Commodore 64;;1994;Tale Software;Puzzle;;;;;0;;;;;
Astromus - Rythmamus (Europe);Astromus - Rythmamus (Europe);Amstrad CPC;;1985;Hatier;Puzzle;;;;;0;;;;;
Atari Video Cube (USA);Atari Video Cube (USA);Atari 2600;;1982;Atari - GCC;Puzzle;;;;;0;;;;;
Ata - The Revenge (USA) (Unl);Ata - The Revenge (USA) (Unl);Commodore 64;;1992;Daniel Krajzewicz/Lower Level;Puzzle;;;;;0;;;;;
ATA (USA) (Unl);ATA (USA) (Unl);Commodore 64;;1992;Daniel Krajzewicz/Lower Level;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);Arcade;atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);Arcade;atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2);Final Burn Alpha;atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Advance);atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Advance);atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Libretro);atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Libretro);atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Mame4all);atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Mame4all);atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);Arcade;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);Final Burn Alpha;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);MAME (Advance);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);MAME (Libretro);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);MAME (Mame4all);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);Arcade;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);Final Burn Alpha;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);MAME (Advance);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);MAME (Libretro);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);MAME (Mame4all);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);Arcade;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);Final Burn Alpha;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);MAME (Advance);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);MAME (Libretro);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);MAME (Mame4all);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);Arcade;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);Arcade;atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);Final Burn Alpha;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Advance);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Advance);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Libretro);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Libretro);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Mame4all);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Mame4all);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);Arcade;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);Arcade;atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);Final Burn Alpha;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Advance);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Advance);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Libretro);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Libretro);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Mame4all);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Mame4all);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);Arcade;;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);Arcade;;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);Final Burn Alpha;;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Advance);;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Advance);;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Libretro);;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Libretro);;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Mame4all);;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Mame4all);;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
Atlantis - The Lost Continent (Europe);Atlantis - The Lost Continent (Europe);Sony PlayStation;;2003;Phoenix Games;Puzzle;;;;;0;;;;;
Atlantis - The Lost Continent (Europe);Atlantis - The Lost Continent (Europe);Sony PSP;;2003;Phoenix Games;Puzzle;;;;;0;;;;;
Atock (Europe);Atock (Europe);Commodore 64;;198x;S+S Soft Vertriebs GmbH;Puzzle;;;;;0;;;;;
Atom Box (USA);Atom Box (USA);Commodore 64;;1983;The Code Works;Puzzle;;;;;0;;;;;
atomicp;Atomic Point (Korea);Arcade;;1990;Philko;Puzzle / Drop;;;;;0;;;;;
atomicp;Atomic Point (Korea);Final Burn Alpha;;1990;Philko;Puzzle / Drop;;;;;0;;;;;
atomicp;Atomic Point (Korea);MAME (Advance);;1990;Philko;Puzzle / Drop;;;;;0;;;;;
atomicp;Atomic Point (Korea);MAME (Libretro);;1990;Philko;Puzzle / Drop;;;;;0;;;;;
atomicp;Atomic Point (Korea);MAME (Mame4all);;1990;Philko;Puzzle / Drop;;;;;0;;;;;
Atomino (Europe);Atomino (Europe);Atari ST;;1990;Psygnosis;Puzzle;;;;;0;;;;;
Atomino (Europe) (Unl);Atomino (Europe) (Unl);Commodore 64;;1991;Play Byte/Psygnosis;Puzzle;;;;;0;;;;;
